bank,file_start,file_end,cpu_start,cpu_end,classification,status,confidence,source_sha256,notes
0x10,0x040000,0x043fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=b89a85b852b3ac8abebbc44cf06f872c5bc44b9ba84c9a183fbfbec275ffc906; entropy=7.190763; unique_bytes=256; zero_bytes=1623; ff_bytes=301
0x11,0x044000,0x047fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=eb8d903e68d2e8a068698767bfb3f78000d349e934d5b9c11655d5818c37e92f; entropy=6.748132; unique_bytes=256; zero_bytes=688; ff_bytes=11
0x12,0x048000,0x04bfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=bba35fb0fd473b453b8c42026d9a254bad65fa6d7cd203d84252911f8e207c87; entropy=6.755312; unique_bytes=256; zero_bytes=2202; ff_bytes=237
0x13,0x04c000,0x04ffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=db753b7904834e3a85c08f865b8fbaebd51d84b2b70c264b5c34174a9713fd5c; entropy=6.497421; unique_bytes=256; zero_bytes=3224; ff_bytes=600
0x14,0x050000,0x053fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=f185a9cb58bd17d60215a7d5aa784db6d36c95b4a078de89193ad5e47d036a6b; entropy=6.531735; unique_bytes=256; zero_bytes=3604; ff_bytes=93
0x15,0x054000,0x057fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=5d685d59aea0837c1513105f9fb092d2cacaeb524c36d72909492dc49822d436; entropy=6.916628; unique_bytes=255; zero_bytes=1229; ff_bytes=338
0x16,0x058000,0x05bfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=c1dc950e082bf2998858c3496e53196069c29a362c37ee14709bd029666204b0; entropy=6.949938; unique_bytes=256; zero_bytes=1170; ff_bytes=369
0x17,0x05c000,0x05ffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=c0360f95892a07f3a5906310c27cb12e1a5fc3bf111c527c72ec9faa2efd4159; entropy=6.94017; unique_bytes=255; zero_bytes=1297; ff_bytes=309
0x18,0x060000,0x063fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=0684b8c75ad4907d1ff1a2f2227528adafd99ea0433564d8ca5f9b185b9ae98e; entropy=6.860247; unique_bytes=255; zero_bytes=937; ff_bytes=294
0x19,0x064000,0x067fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=33d063fbf263c98194862c7b8250440d86a29ca18ec76102e44055750be6d71e; entropy=6.974855; unique_bytes=255; zero_bytes=1459; ff_bytes=261
0x1a,0x068000,0x06bfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=976967e035c6a8498846bfb437fd374103fb4f5ab52721797018fd184a2f709e; entropy=6.960283; unique_bytes=256; zero_bytes=1352; ff_bytes=389
